,English,Afrikaans,Arabic,Belarusian,Bulgarian,Catalan,Czech,Welsh,Danish,North Sami,German,Estonian,Greek,Spanish,Basque,Persian,French,Irish,Scottish Gaelic,Galician,Gothic,Korean,Armenian,Hindi,Croatian,Indonesian,Italian,Hebrew,Kazakh,Latin,Latvian,Lithuanian,Hungarian,Maltese,Marathi,Dutch,Japanese,Polish,Portuguese,Romanian,Russian,Sanskrit,Slovak,Slovenian,Serbian,Finnish,Swedish,Tamil,Telugu,Turkish,Ukrainian,Urdu,Uyghur,Vietnamese,Classical Chinese,Wolof,Chinese,Old Church Slavonic
English,1.0,0.7095,0.1882,0.724,0.7987,0.7958,0.7665,0.4629,0.7921,0.489,0.8229,0.6962,0.7508,0.7949,0.6044,0.5644,0.7842,0.5374,0.5141,0.727,0.2429,0.5228,0.5247,0.5265,0.7387,0.6222,0.8621,0.5688,0.1689,0.6614,0.7477,0.7389,0.4032,0.7433,0.5716,0.8525,0.5081,0.7414,0.675,0.8092,0.65,0.1958,0.7777,0.734,0.7288,0.7273,0.787,0.6299,0.5664,0.5609,0.7337,0.5198,0.4121,0.6479,0.0474,0.1747,0.5479,0.3716
Afrikaans,0.7095,1.0,0.187,0.5729,0.6763,0.7317,0.6662,0.5319,0.7636,0.5268,0.7211,0.7127,0.6432,0.6593,0.7108,0.6235,0.6818,0.5955,0.5889,0.7078,0.3062,0.6097,0.5937,0.5638,0.715,0.2904,0.7843,0.4171,0.203,0.7307,0.6617,0.6973,0.3313,0.5484,0.6625,0.7703,0.5849,0.6385,0.5447,0.7541,0.5592,0.2751,0.6865,0.733,0.7338,0.6829,0.7619,0.6091,0.5545,0.5715,0.6278,0.5932,0.4334,0.545,0.1087,0.1742,0.5883,0.4519
Arabic,0.1882,0.187,1.0,0.194,0.1999,0.2069,0.224,0.1476,0.2083,0.1306,0.1911,0.2036,0.2066,0.2014,0.1858,0.1797,0.2135,0.1663,0.1541,0.2092,0.0717,0.1511,0.1392,0.1469,0.2047,0.0863,0.2191,0.1453,0.0513,0.1998,0.2097,0.2361,0.0847,0.1772,0.171,0.2045,0.1566,0.2076,0.1522,0.2113,0.1858,0.0609,0.222,0.2037,0.2054,0.1966,0.215,0.1832,0.1696,0.1607,0.2096,0.1504,0.1421,0.1569,0.0156,0.0567,0.1756,0.1002
Belarusian,0.724,0.5729,0.194,1.0,0.7103,0.6617,0.8242,0.4986,0.79,0.4891,0.7398,0.773,0.8189,0.7143,0.4886,0.5016,0.627,0.526,0.4209,0.7012,0.1814,0.3836,0.4384,0.3857,0.6799,0.4932,0.7413,0.8334,0.1876,0.5542,0.8706,0.7403,0.345,0.7788,0.4753,0.7601,0.4587,0.7759,0.5245,0.6809,0.8828,0.1553,0.8025,0.6894,0.67,0.8228,0.7144,0.7034,0.6728,0.6098,0.9387,0.3843,0.5517,0.5924,0.041,0.1678,0.44,0.2762
Bulgarian,0.7987,0.6763,0.1999,0.7103,1.0,0.8008,0.8039,0.4855,0.7547,0.4839,0.7743,0.6864,0.7599,0.8065,0.6409,0.5846,0.7741,0.5414,0.5009,0.7547,0.2312,0.492,0.5011,0.5244,0.7831,0.4913,0.8454,0.4961,0.1881,0.6772,0.7833,0.7384,0.368,0.7231,0.5804,0.7822,0.4751,0.8042,0.6359,0.7978,0.6201,0.1978,0.8177,0.7613,0.76,0.7039,0.759,0.6445,0.5652,0.5514,0.7435,0.5259,0.4459,0.6036,0.068,0.1892,0.5507,0.3494
Catalan,0.7958,0.7317,0.2069,0.6617,0.8008,1.0,0.773,0.5148,0.8025,0.5056,0.7458,0.7305,0.7588,0.9238,0.7181,0.6233,0.811,0.5896,0.5587,0.775,0.284,0.5643,0.6312,0.5978,0.8119,0.4685,0.8602,0.4551,0.1981,0.7201,0.7125,0.7609,0.3854,0.701,0.6569,0.8063,0.5605,0.7439,0.6597,0.8673,0.5777,0.2389,0.7948,0.824,0.8211,0.7307,0.8102,0.6803,0.583,0.5744,0.7111,0.5955,0.4561,0.603,0.0539,0.2322,0.6123,0.411
Czech,0.7665,0.6662,0.224,0.8242,0.8039,0.773,1.0,0.5081,0.8315,0.4957,0.7803,0.7858,0.8228,0.8005,0.6252,0.6188,0.7484,0.571,0.5231,0.7744,0.2295,0.4863,0.5283,0.5032,0.7821,0.4715,0.8385,0.6635,0.1822,0.6851,0.8382,0.825,0.3292,0.7394,0.5913,0.8178,0.5089,0.911,0.5818,0.7834,0.7761,0.1897,0.9457,0.7859,0.7544,0.8099,0.8143,0.6833,0.632,0.6202,0.87,0.5202,0.4909,0.5842,0.0406,0.1654,0.5326,0.3349
Welsh,0.4629,0.5319,0.1476,0.4986,0.4855,0.5148,0.5081,1.0,0.5831,0.5503,0.5012,0.621,0.4953,0.4694,0.6284,0.5418,0.5157,0.6153,0.528,0.5321,0.2672,0.5563,0.3909,0.4779,0.5159,0.1914,0.5659,0.3622,0.238,0.6142,0.555,0.5662,0.3105,0.3988,0.5563,0.5815,0.5195,0.4779,0.3718,0.5634,0.452,0.2129,0.5158,0.5798,0.5225,0.5714,0.6209,0.5518,0.5529,0.5579,0.4888,0.4779,0.4631,0.4348,0.0617,0.1614,0.5228,0.3808
Danish,0.7921,0.7636,0.2083,0.79,0.7547,0.8025,0.8315,0.5831,1.0,0.6245,0.8287,0.8931,0.799,0.7847,0.7703,0.6999,0.739,0.6899,0.6247,0.802,0.3228,0.6676,0.6894,0.5909,0.8034,0.4245,0.855,0.6338,0.1992,0.7911,0.8244,0.8455,0.3947,0.7265,0.7034,0.8995,0.6766,0.7884,0.6205,0.8085,0.7626,0.2653,0.8105,0.8051,0.8378,0.8966,0.9208,0.7386,0.7238,0.6939,0.8328,0.5953,0.53,0.668,0.0572,0.1736,0.6337,0.4717
North Sami,0.489,0.5268,0.1306,0.4891,0.4839,0.5056,0.4957,0.5503,0.6245,1.0,0.5396,0.6308,0.5103,0.462,0.5935,0.5314,0.4753,0.6152,0.5011,0.5266,0.391,0.5788,0.4023,0.4357,0.4948,0.2586,0.5427,0.401,0.2253,0.6381,0.5402,0.5855,0.3542,0.4608,0.5593,0.6033,0.5091,0.4811,0.3986,0.5335,0.4681,0.2271,0.4906,0.5357,0.5163,0.6063,0.6435,0.5395,0.6042,0.5899,0.4973,0.4349,0.4601,0.4902,0.1037,0.1395,0.5327,0.443
German,0.8229,0.7211,0.1911,0.7398,0.7743,0.7458,0.7803,0.5012,0.8287,0.5396,1.0,0.7946,0.746,0.7635,0.6563,0.5965,0.7039,0.605,0.5278,0.7462,0.2729,0.5778,0.5183,0.5075,0.7151,0.4455,0.8515,0.5687,0.172,0.7162,0.8107,0.7722,0.406,0.71,0.595,0.8953,0.5609,0.753,0.5777,0.7879,0.719,0.226,0.7694,0.7064,0.7274,0.7967,0.8165,0.6709,0.6642,0.6058,0.7761,0.4986,0.488,0.6171,0.0497,0.1906,0.5776,0.422
Estonian,0.6962,0.7127,0.2036,0.773,0.6864,0.7305,0.7858,0.621,0.8931,0.6308,0.7946,1.0,0.7579,0.7292,0.7582,0.6687,0.6641,0.7262,0.6127,0.7641,0.3304,0.7026,0.5717,0.5702,0.7431,0.3785,0.8012,0.6364,0.1963,0.7736,0.8378,0.8275,0.4006,0.6723,0.6692,0.8573,0.7053,0.7467,0.5424,0.7493,0.7772,0.2713,0.7737,0.7468,0.7654,0.9302,0.8815,0.7979,0.7691,0.6968,0.8254,0.5573,0.5632,0.6366,0.0617,0.2585,0.6706,0.4897
Greek,0.7508,0.6432,0.2066,0.8189,0.7599,0.7588,0.8228,0.4953,0.799,0.5103,0.746,0.7579,1.0,0.7847,0.5927,0.5716,0.7214,0.5526,0.4938,0.7434,0.224,0.475,0.53,0.4744,0.7335,0.5514,0.8124,0.6615,0.2288,0.6719,0.8092,0.8056,0.355,0.7607,0.5748,0.7967,0.506,0.7755,0.585,0.7478,0.8367,0.2062,0.8114,0.7381,0.7229,0.7788,0.8399,0.697,0.6555,0.6007,0.837,0.4791,0.5036,0.5977,0.0495,0.1805,0.5224,0.3436
Spanish,0.7949,0.6593,0.2014,0.7143,0.8065,0.9238,0.8005,0.4694,0.7847,0.462,0.7635,0.7292,0.7847,1.0,0.6373,0.5706,0.7703,0.5475,0.5113,0.7642,0.2333,0.5158,0.5656,0.5636,0.7699,0.5702,0.847,0.4988,0.173,0.6605,0.7357,0.7524,0.406,0.7429,0.5903,0.7948,0.5194,0.7701,0.6469,0.8182,0.6178,0.1916,0.8076,0.7549,0.7602,0.7476,0.7845,0.7,0.6143,0.555,0.7504,0.5342,0.4558,0.5867,0.0455,0.2295,0.5711,0.3693
Basque,0.6044,0.7108,0.1858,0.4886,0.6409,0.7181,0.6252,0.6284,0.7703,0.5935,0.6563,0.7582,0.5927,0.6373,1.0,0.6867,0.656,0.7177,0.6285,0.6821,0.3508,0.7442,0.6547,0.7112,0.7261,0.265,0.7331,0.3316,0.2285,0.8002,0.6454,0.7327,0.4113,0.4766,0.702,0.7355,0.7279,0.5815,0.513,0.7485,0.4743,0.283,0.6522,0.7466,0.7575,0.6768,0.7862,0.6918,0.6262,0.6287,0.5588,0.6504,0.5032,0.5592,0.0664,0.2719,0.7149,0.5154
Persian,0.5644,0.6235,0.1797,0.5016,0.5846,0.6233,0.6188,0.5418,0.6999,0.5314,0.5965,0.6687,0.5716,0.5706,0.6867,1.0,0.6002,0.6142,0.576,0.6389,0.2895,0.5971,0.5316,0.5522,0.6372,0.2068,0.6745,0.3957,0.2327,0.7064,0.5946,0.659,0.2993,0.4937,0.656,0.6659,0.5527,0.5742,0.4586,0.6398,0.5124,0.2363,0.6231,0.6556,0.6399,0.668,0.7438,0.5383,0.6146,0.6321,0.5696,0.5577,0.464,0.5073,0.0462,0.1417,0.5643,0.4141
