,Afrikaans,Arabic,Armenian,Basque,Belarusian,Bulgarian,Catalan,Chinese,Classical Chinese,Croatian,Czech,Danish,Dutch,English,Estonian,Finnish,French,Galician,German,Gothic,Greek,Hebrew,Hindi,Hungarian,Indonesian,Irish,Italian,Japanese,Kazakh,Korean,Latin,Latvian,Lithuanian,Maltese,Marathi,North Sami,Old Church Slavonic,Persian,Polish,Portuguese,Romanian,Russian,Sanskrit,Scottish Gaelic,Serbian,Slovak,Slovenian,Spanish,Swedish,Tamil,Telugu,Turkish,Ukrainian,Urdu,Uyghur,Vietnamese,Welsh,Wolof
Afrikaans,1.0,0.187,0.5937,0.7108,0.5729,0.6763,0.7317,0.6016,0.1087,0.715,0.6662,0.7636,0.7703,0.7148,0.7127,0.0,0.6818,0.7078,0.7211,0.3062,0.6432,0.4171,0.5638,0.3313,0.2904,0.5955,0.7843,0.5895,0.203,0.6097,0.7307,0.6617,0.6973,0.5484,0.6625,0.5268,0.4519,0.0,0.6385,0.5447,0.7541,0.5592,0.2751,0.5889,0.7338,0.7032,0.733,0.6593,0.7619,0.5324,0.5545,0.5715,0.6278,0.5932,0.4334,0.545,0.5319,0.1742
Arabic,0.187,1.0,0.1392,0.1858,0.194,0.1999,0.2069,0.1776,0.0156,0.2047,0.224,0.2083,0.2045,0.1874,0.2036,0.0,0.2135,0.2092,0.1911,0.0717,0.2066,0.1453,0.1469,0.0847,0.0863,0.1663,0.2191,0.1545,0.0513,0.1511,0.1998,0.2097,0.2361,0.1772,0.171,0.1306,0.1002,0.0004,0.2076,0.1522,0.2113,0.1858,0.0609,0.1541,0.2054,0.2209,0.2037,0.2014,0.215,0.1399,0.1696,0.1607,0.2096,0.1504,0.1421,0.1569,0.1476,0.0567
Armenian,0.5937,0.1392,1.0,0.6547,0.4384,0.5011,0.6312,0.4076,0.0348,0.6638,0.5283,0.6894,0.5798,0.5317,0.5717,0.001,0.4801,0.5135,0.5183,0.2158,0.53,0.3454,0.5829,0.2558,0.2438,0.4384,0.608,0.5209,0.1747,0.4276,0.5312,0.5159,0.5242,0.4776,0.5225,0.4023,0.3258,0.0,0.505,0.3798,0.6645,0.4474,0.1991,0.4416,0.7326,0.532,0.6818,0.5656,0.6214,0.3668,0.4356,0.4705,0.4841,0.5316,0.3307,0.3858,0.3909,0.1176
Basque,0.7108,0.1858,0.6547,1.0,0.4886,0.6409,0.7181,0.7307,0.0664,0.7261,0.6252,0.7703,0.7355,0.6142,0.7582,0.0007,0.656,0.6821,0.6563,0.3508,0.5927,0.3316,0.7112,0.4113,0.265,0.7177,0.7331,0.7306,0.2285,0.7442,0.8002,0.6454,0.7327,0.4766,0.702,0.5935,0.5154,0.0039,0.5815,0.513,0.7485,0.4743,0.283,0.6285,0.7575,0.6574,0.7466,0.6373,0.7862,0.5746,0.6262,0.6287,0.5588,0.6504,0.5032,0.5592,0.6284,0.2719
Belarusian,0.5729,0.194,0.4384,0.4886,1.0,0.7103,0.6617,0.4429,0.041,0.6799,0.8242,0.79,0.7601,0.7264,0.773,0.0,0.627,0.7012,0.7398,0.1814,0.8189,0.8334,0.3857,0.345,0.4932,0.526,0.7413,0.4451,0.1876,0.3836,0.5542,0.8706,0.7403,0.7788,0.4753,0.4891,0.2762,0.0,0.7759,0.5245,0.6809,0.8828,0.1553,0.4209,0.67,0.802,0.6894,0.7143,0.7144,0.4303,0.6728,0.6098,0.9387,0.3843,0.5517,0.5924,0.4986,0.1678
Bulgarian,0.6763,0.1999,0.5011,0.6409,0.7103,1.0,0.8008,0.5556,0.068,0.7831,0.8039,0.7547,0.7822,0.7963,0.6864,0.0,0.7741,0.7547,0.7743,0.2312,0.7599,0.4961,0.5244,0.368,0.4913,0.5414,0.8454,0.4721,0.1881,0.492,0.6772,0.7833,0.7384,0.7231,0.5804,0.4839,0.3494,0.0058,0.8042,0.6359,0.7978,0.6201,0.1978,0.5009,0.76,0.8208,0.7613,0.8065,0.759,0.4793,0.5652,0.5514,0.7435,0.5259,0.4459,0.6036,0.4855,0.1892
Catalan,0.7317,0.2069,0.6312,0.7181,0.6617,0.8008,1.0,0.6198,0.0539,0.8119,0.773,0.8025,0.8063,0.798,0.7305,0.0005,0.8111,0.775,0.7458,0.284,0.7588,0.4551,0.5978,0.3854,0.4685,0.5896,0.8602,0.5596,0.1981,0.5643,0.7201,0.7125,0.7609,0.701,0.6569,0.5056,0.411,0.0059,0.7439,0.6597,0.8673,0.5777,0.2389,0.5587,0.8211,0.8005,0.824,0.9238,0.8102,0.5224,0.583,0.5744,0.7111,0.5955,0.4561,0.603,0.5148,0.2322
Chinese,0.6016,0.1776,0.4076,0.7307,0.4429,0.5556,0.6198,1.0,0.1446,0.585,0.54,0.6493,0.6607,0.5564,0.6861,0.0,0.6299,0.6268,0.5885,0.4068,0.5276,0.2793,0.5464,0.366,0.2703,0.6333,0.6396,0.6407,0.1673,0.6885,0.7329,0.5708,0.676,0.4622,0.5934,0.5401,0.4959,0.0031,0.5046,0.4996,0.6384,0.4202,0.2662,0.5681,0.6183,0.5726,0.5778,0.5758,0.6984,0.5545,0.6018,0.5169,0.5126,0.5131,0.4577,0.5765,0.5328,0.2884
Classical Chinese,0.1087,0.0156,0.0348,0.0664,0.041,0.068,0.0539,0.1446,1.0,0.0493,0.0406,0.0572,0.0595,0.0452,0.0617,0.0,0.0528,0.0572,0.0497,0.118,0.0495,0.0337,0.0503,0.0305,0.0286,0.0598,0.0518,0.054,0.021,0.0654,0.0969,0.0515,0.0608,0.0494,0.1182,0.1037,0.1078,0.0,0.0384,0.0397,0.053,0.0338,0.0505,0.0912,0.0576,0.0648,0.054,0.0455,0.0647,0.3454,0.0714,0.0656,0.0409,0.0568,0.1005,0.2289,0.0617,0.0801
Croatian,0.715,0.2047,0.6638,0.7261,0.6799,0.7831,0.8119,0.585,0.0493,1.0,0.7821,0.8034,0.7785,0.7443,0.7431,0.0014,0.7215,0.7442,0.7151,0.2633,0.7335,0.513,0.6261,0.3765,0.4121,0.5907,0.8763,0.5716,0.1951,0.5557,0.707,0.7327,0.7465,0.644,0.6459,0.4948,0.4017,0.01,0.7353,0.5793,0.8103,0.6279,0.2171,0.5743,0.9458,0.8023,0.8772,0.7699,0.8017,0.5046,0.5821,0.6005,0.7356,0.6166,0.464,0.552,0.5159,0.2163
