Structure	Frequency
NOUN()	55
NOUN(ADJ-amod)	42
VERB(NOUN-nsubj, NOUN-obl, PUNCT-punct)	42
VERB(NOUN-nsubj, NOUN-obj, PUNCT-punct)	41
NOUN(NOUN-nmod)	39
VERB(NOUN-nsubj, NOUN-obj, NOUN-obl, PUNCT-punct)	36
NOUN(NOUN-conj)	35
VERB(NOUN-nsubj, NOUN-obl, NOUN-obl, PUNCT-punct)	26
PROPN()	26
VERB(NOUN-nsubj, PUNCT-punct, VERB-ccomp)	21
VERB(NOUN-nsubj, NOUN-obj, PUNCT-punct, VERB-conj)	20
VERB(NOUN-obj, PROPN-nsubj, PUNCT-punct)	19
VERB(NOUN-nsubj, PUNCT-punct)	18
PUNCT()	18
VERB(ADV-advmod, NOUN-nsubj, NOUN-obj, PUNCT-punct)	16
VERB(NOUN-obj, NOUN-obl, PROPN-nsubj, PUNCT-punct)	16
VERB(ADV-advmod, NOUN-nsubj, NOUN-obl, PUNCT-punct)	14
VERB(NOUN-nsubj, PUNCT-punct, VERB-xcomp)	13
VERB(NOUN-obj, NOUN-obl, PUNCT-punct)	12
VERB(AUX-aux, NOUN-nsubj, NOUN-obl, PUNCT-punct)	11
VERB(AUX-aux:pass, NOUN-nsubj:pass, NOUN-obl, PUNCT-punct)	10
VERB(AUX-aux, NOUN-nsubj, NOUN-obj, PUNCT-punct)	10
VERB(NOUN-nsubj, NOUN-obl, PUNCT-punct, VERB-conj)	10
NOUN(PROPN-nmod)	10
NOUN(PUNCT-punct)	10
VERB()	9
VERB(AUX-aux, NOUN-nsubj, NOUN-obj, NOUN-obl, PUNCT-punct)	8
ADJ()	8
ADJ(AUX-cop, NOUN-nsubj, NOUN-obl, PUNCT-punct)	8
VERB(AUX-aux, NOUN-nsubj, NOUN-obl, NOUN-obl, PUNCT-punct)	7
VERB(ADV-advmod)	7
VERB(NOUN-nsubj, NOUN-obl:arg, PUNCT-punct)	6
VERB(NOUN-nsubj, NOUN-obj, PUNCT-punct, VERB-advcl)	6
VERB(NOUN-nsubj)	6
VERB(NOUN-obj, PRON-nsubj, PUNCT-punct)	6
VERB(ADV-advmod, NOUN-nsubj, PUNCT-punct)	6
NOUN(NOUN-compound)	6
VERB(NOUN-nsubj:pass, NOUN-obl, PUNCT-punct)	6
NOUN(NOUN-nmod:poss)	5
VERB(AUX-aux, NOUN-obj, NOUN-obl, PROPN-nsubj, PUNCT-punct)	5
NOUN(AUX-cop, NOUN-nmod, NOUN-nsubj, PUNCT-punct)	5
VERB(NOUN-nsubj, NOUN-obl, PRON-expl, PUNCT-punct)	5
VERB(NOUN-nsubj, NOUN-obl, PRON-expl:pv, PUNCT-punct)	5
NOUN(DET-det)	5
VERB(NOUN-obl, PUNCT-punct)	5
VERB(NOUN-nsubj, NOUN-obj)	4
NUM(PUNCT-punct)	4
NOUN(NOUN-nsubj)	4
VERB(NOUN-obl, PROPN-nsubj, PUNCT-punct)	4
ADV()	4
NOUN(ADV-advmod)	4
VERB(NOUN-nsubj, PROPN-obl, PUNCT-punct)	4
VERB(AUX-aux, NOUN-nsubj, NOUN-obl, PUNCT-punct, VERB-conj)	3
ADJ(AUX-cop, NOUN-nsubj, PUNCT-punct)	3
NUM()	3
VERB(NOUN-iobj, NOUN-nsubj, PUNCT-punct)	3
