Language	Lang fam	Max sim	Min sim	Avg sim
English	Indo-European languages, Germanic languages	0.8621 Italian, 0.8525 Dutch, 0.8229 German	0.0474 Classical Chinese, 0.1689 Kazakh, 0.1747 Wolof	0.6132
Afrikaans	Indo-European languages, Germanic languages	0.7843 Italian, 0.7703 Dutch, 0.7636 Danish	0.1087 Classical Chinese, 0.1742 Wolof, 0.187 Arabic	0.5881
Arabic	Afroasiatic languages, Semitic languages	0.2361 Lithuanian, 0.224 Czech, 0.222 Slovak	0.0156 Classical Chinese, 0.0513 Kazakh, 0.0567 Wolof	0.1833
Belarusian	Indo-European languages, Slavic languages	0.9387 Ukrainian, 0.8828 Russian, 0.8706 Latvian	0.041 Classical Chinese, 0.1553 Sanskrit, 0.1678 Wolof	0.5893
Bulgarian	Indo-European languages, Slavic languages	0.8454 Italian, 0.8177 Slovak, 0.8065 Spanish	0.068 Classical Chinese, 0.1881 Kazakh, 0.1892 Wolof	0.6088
Catalan	Indo-European languages, Romance languages	0.9238 Spanish, 0.8673 Romanian, 0.8602 Italian	0.0539 Classical Chinese, 0.1981 Kazakh, 0.2069 Arabic	0.6342
Czech	Indo-European languages, Slavic languages	0.9457 Slovak, 0.911 Polish, 0.87 Ukrainian	0.0406 Classical Chinese, 0.1654 Wolof, 0.1822 Kazakh	0.6343
Welsh	Indo-European languages, Celtic languages	0.6284 Basque, 0.621 Estonian, 0.6209 Swedish	0.0617 Classical Chinese, 0.1476 Arabic, 0.1614 Wolof	0.4817
Danish	Indo-European languages, Germanic languages	0.9208 Swedish, 0.8995 Dutch, 0.8966 Finnish	0.0572 Classical Chinese, 0.1736 Wolof, 0.1992 Kazakh	0.6804
North Sami	Uralic languages, Sámi languages	0.6435 Swedish, 0.6381 Latin, 0.6308 Estonian	0.1037 Classical Chinese, 0.1306 Arabic, 0.1395 Wolof	0.4896
German	Indo-European languages, Germanic languages	0.8953 Dutch, 0.8515 Italian, 0.8287 Danish	0.0497 Classical Chinese, 0.172 Kazakh, 0.1906 Wolof	0.6262
Estonian	Uralic languages, Finnic languages	0.9302 Finnish, 0.8931 Danish, 0.8815 Swedish	0.0617 Classical Chinese, 0.1963 Kazakh, 0.2036 Arabic	0.662
Greek	Indo-European languages, Hellenic languages	0.8399 Swedish, 0.837 Ukrainian, 0.8367 Russian	0.0495 Classical Chinese, 0.1805 Wolof, 0.2062 Sanskrit	0.6209
